,Départ,Arrivée,Prix
0,Paris,Strasbourg,248
1,Nantes,Strasbourg,177
2,Marseille,Strasbourg,215
3,Bordeaux,Strasbourg,227
4,Bruxelles,Strasbourg,205
5,Genève,Strasbourg,244
6,Lyon,Strasbourg,194
7,Toulouse,Strasbourg,222
8,Nice,Strasbourg,176
9,Paris,Bordeaux,154
10,Nantes,Bordeaux,190
11,Marseille,Bordeaux,119
12,Bruxelles,Bordeaux,148
13,Genève,Bordeaux,143
14,Lyon,Bordeaux,143
15,Toulouse,Bordeaux,240
16,Nice,Bordeaux,145
17,Paris,Clermont-Ferrand,124
18,Nantes,Clermont-Ferrand,192
19,Bruxelles,Clermont-Ferrand,294
20,Nice,Clermont-Ferrand,213
21,Paris,Rennes,149
22,Nantes,Rennes,241
23,Marseille,Rennes,164
24,Bordeaux,Rennes,197
25,Bruxelles,Rennes,261
26,Genève,Rennes,204
27,Lyon,Rennes,158
28,Toulouse,Rennes,166
29,Nice,Rennes,176
30,Paris,Brest,127
31,Nantes,Brest,190
32,Marseille,Brest,125
33,Bordeaux,Brest,169
34,Bruxelles,Brest,252
35,Genève,Brest,202
36,Lyon,Brest,168
37,Toulouse,Brest,123
38,Nice,Brest,189
39,Paris,Ajaccio,189
40,Nantes,Ajaccio,278
41,Marseille,Ajaccio,196
42,Bordeaux,Ajaccio,234
43,Bruxelles,Ajaccio,357
44,Genève,Ajaccio,235
45,Lyon,Ajaccio,246
46,Toulouse,Ajaccio,242
47,Nice,Ajaccio,214
48,Paris,Bastia,220
49,Nantes,Bastia,286
50,Marseille,Bastia,211
51,Bordeaux,Bastia,270
52,Bruxelles,Bastia,365
53,Genève,Bastia,240
54,Lyon,Bastia,224
55,Toulouse,Bastia,248
56,Nice,Bastia,201
57,Paris,Calvi,239
58,Nantes,Calvi,264
59,Marseille,Calvi,182
60,Bordeaux,Calvi,223
61,Bruxelles,Calvi,349
62,Genève,Calvi,251
63,Lyon,Calvi,244
64,Toulouse,Calvi,226
65,Nice,Calvi,181
66,Paris,Figari,230
67,Nantes,Figari,247
68,Marseille,Figari,183
69,Bordeaux,Figari,234
70,Bruxelles,Figari,299
71,Genève,Figari,262
72,Lyon,Figari,253
73,Toulouse,Figari,225
74,Nice,Figari,190
75,Paris,Montpellier,180
76,Nantes,Montpellier,133
77,Marseille,Montpellier,233
78,Bordeaux,Montpellier,257
79,Bruxelles,Montpellier,237
80,Genève,Montpellier,194
81,Lyon,Montpellier,245
82,Toulouse,Montpellier,263
83,Nice,Montpellier,241
84,Paris,Limoges,224
85,Marseille,Limoges,327
86,Bruxelles,Limoges,321
87,Lyon,Limoges,242
88,Nice,Limoges,289
89,Paris,Metz,228
90,Nantes,Metz,234
91,Marseille,Metz,290
92,Bordeaux,Metz,252
93,Lyon,Metz,224
94,Toulouse,Metz,289
95,Nice,Metz,245
96,Paris,Toulouse,132
97,Nantes,Toulouse,121
98,Marseille,Toulouse,145
99,Bordeaux,Toulouse,289
100,Bruxelles,Toulouse,119
101,Genève,Toulouse,143
102,Lyon,Toulouse,119
103,Nice,Toulouse,123
104,Paris,Lille,291
105,Nantes,Lille,155
106,Marseille,Lille,156
107,Bordeaux,Lille,147
108,Bruxelles,Lille,307
109,Genève,Lille,139
110,Lyon,Lille,166
111,Toulouse,Lille,143
112,Nice,Lille,153
113,Paris,Caen,242
114,Marseille,Caen,174
115,Bordeaux,Caen,213
116,Bruxelles,Caen,312
117,Genève,Caen,303
118,Lyon,Caen,177
119,Toulouse,Caen,153
120,Nice,Caen,221
121,Paris,Nantes,172
122,Marseille,Nantes,136
123,Bordeaux,Nantes,219
124,Bruxelles,Nantes,219
125,Genève,Nantes,196
126,Lyon,Nantes,129
127,Toulouse,Nantes,114
128,Nice,Nantes,151
129,Paris,Poitiers,350
130,Marseille,Poitiers,377
131,Bruxelles,Poitiers,409
132,Lyon,Poitiers,265
133,Toulouse,Poitiers,357
134,Nice,Poitiers,360
135,Paris,Marseille,164
136,Nantes,Marseille,136
137,Bordeaux,Marseille,101
138,Bruxelles,Marseille,129
139,Genève,Marseille,206
140,Lyon,Marseille,179
141,Toulouse,Marseille,156
142,Nice,Marseille,222
143,Paris,Nice,143
144,Nantes,Nice,170
145,Marseille,Nice,193
146,Bordeaux,Nice,121
147,Bruxelles,Nice,179
148,Genève,Nice,182
149,Lyon,Nice,159
150,Toulouse,Nice,135
151,Paris,Lyon,170
152,Nantes,Lyon,143
153,Marseille,Lyon,180
154,Bordeaux,Lyon,112
155,Bruxelles,Lyon,189
156,Genève,Lyon,287
157,Toulouse,Lyon,126
158,Nice,Lyon,154
159,Nantes,Paris,161
160,Marseille,Paris,154
161,Bordeaux,Paris,130
162,Bruxelles,Paris,254
163,Genève,Paris,184
164,Lyon,Paris,170
165,Toulouse,Paris,122
166,Nice,Paris,134
